Less than Three epochs:  332.91590	  25.34436	  3.0303	[(7644, 57327, 2), (5958, 56213, 228)]
Less than Three epochs:  331.41940	  26.27966	  2.8974	[(7644, 57327, 690), (5959, 56214, 982)]
Less than Three epochs:  332.14661	  27.00964	  2.8577	[(5958, 56213, 630), (7646, 57570, 163)]
Less than Three epochs:  333.04402	  28.04001	  2.8860	[(5962, 56265, 692), (7647, 57655, 445)]
Less than Three epochs:  334.59130	  30.10106	  2.8801	[(5955, 56456, 715), (7647, 57655, 827)]
Less than Three epochs:  334.56525	  24.98231	  3.0728	[(7648, 57329, 478), (5950, 56211, 826)]
Less than Three epochs:  335.29511	  25.23177	  2.5552	[(7648, 57329, 656), (5957, 56210, 142)]
Less than Three epochs:  333.28954	  26.44654	  3.0212	[(5962, 56265, 248), (7649, 57574, 430)]
Less than Three epochs:  333.22238	  26.76413	  3.0414	[(5958, 56213, 870), (7649, 57574, 620)]
Less than Three epochs:  335.78544	  26.74160	  2.2201	[(5956, 56104, 237), (7650, 57575, 372)]
Less than Three epochs:  337.90002	  27.56727	  3.0471	[(6297, 56218, 732), (7651, 57654, 338)]
Less than Three epochs:  340.71363	  27.10932	  2.6954	[(6296, 56219, 854), (7652, 57579, 290)]
Less than Three epochs:  340.70132	  28.88468	  2.3228	[(6585, 56479, 74), (7652, 57579, 740)]
Less than Three epochs:  341.73567	  28.78770	  2.9995	[(6294, 56482, 698), (7652, 57579, 810)]
Less than Three epochs:  340.68061	  23.96635	  3.3504	[(7653, 57306, 23), (6290, 56238, 458)]
Less than Three epochs:  339.86538	  23.00501	  2.9383	[(7653, 57306, 125), (6307, 56205, 480)]
Less than Three epochs:  339.75475	  23.63591	  3.1161	[(7653, 57306, 206), (6298, 56208, 244)]
Less than Three epochs:  338.84698	  24.01249	  3.2544	[(7653, 57306, 419), (6298, 56208, 407)]
Less than Three epochs:  340.42515	  27.61438	  2.3285	[(7655, 57336, 830), (6296, 56219, 798)]
Less than Three epochs:  341.63125	  27.03604	  2.7972	[(7655, 57336, 988), (6296, 56219, 976)]
Less than Three epochs:  343.54905	  26.25865	  1.8962	[(7656, 57338, 18), (6582, 56274, 580)]
Less than Three epochs:  342.65286	  26.32231	  3.3580	[(7656, 57338, 258), (6295, 56536, 228)]
Less than Three epochs:  343.50961	  27.24622	  3.3191	[(7656, 57338, 934), (6293, 56561, 424)]
Less than Three epochs:  340.82313	  25.74912	  2.4704	[(7657, 57309, 555), (6290, 56238, 552)]
Less than Three epochs:  343.74696	  24.93526	  2.5631	[(7658, 57312, 400), (6588, 56536, 648)]
Less than Three epochs:  344.03174	  26.28379	  3.2454	[(7658, 57312, 624), (6295, 56536, 21)]
Less than Three epochs:  344.07875	  26.07570	  2.9701	[(7658, 57312, 674), (6295, 56536, 25)]
Less than Three epochs:   32.70214	  25.78858	  3.0540	[(7659, 57060, 138), (5698, 55947, 40)]
Less than Three epochs:   32.34218	  26.83902	  2.8557	[(7659, 57060, 240), (5698, 55947, 865)]
Less than Three epochs:   30.99194	  26.81083	  2.8331	[(6270, 56273, 89), (7659, 57060, 478)]
Less than Three epochs:   31.51768	  27.04573	  1.8354	[(7659, 57060, 671), (5698, 55947, 710)]
Less than Three epochs:    8.60199	  24.53653	  2.3659	[(7660, 57357, 162), (6284, 56310, 458)]
Less than Three epochs:    7.48255	  24.67137	  3.1608	[(7660, 57357, 362), (6281, 56295, 176)]
Less than Three epochs:    5.29146	  23.64892	  3.0463	[(6279, 56243, 126), (7661, 57286, 492)]
Less than Three epochs:    7.15922	  24.60516	  3.2729	[(7661, 57286, 844), (6281, 56295, 254)]
Less than Three epochs:    7.22349	  25.05075	  3.2207	[(7661, 57286, 868), (6281, 56295, 230)]
Less than Three epochs:    5.46876	  25.73607	  2.1887	[(7662, 57358, 234), (6279, 56243, 916)]
Less than Three epochs:    5.21628	  25.01670	  2.2744	[(7662, 57358, 253), (6279, 56243, 860)]
Less than Three epochs:    4.59329	  26.00607	  3.2774	[(6276, 56269, 60), (7662, 57358, 619)]
Less than Three epochs:    5.36799	  26.03818	  2.9170	[(7662, 57358, 770), (6279, 56243, 876)]
Less than Three epochs:    5.45911	  26.01032	  3.1750	[(7662, 57358, 818), (6279, 56243, 906)]
Less than Three epochs:    5.95420	  26.15331	  2.5902	[(7662, 57358, 895), (6280, 56570, 321)]
Less than Three epochs:    4.25669	  22.90736	  2.8467	[(6881, 56540, 110), (7663, 57328, 164)]
Less than Three epochs:    2.95679	  24.92218	  2.6125	[(7663, 57328, 545), (6880, 56543, 847)]
Less than Three epochs:    3.45147	  25.04886	  3.1453	[(7663, 57328, 624), (6279, 56243, 532)]
Less than Three epochs:    3.51352	  24.28137	  3.2210	[(6881, 56540, 748), (7663, 57328, 649)]
Less than Three epochs:    3.95553	  24.30440	  2.6040	[(6881, 56540, 821), (7663, 57328, 764)]
Less than Three epochs:    5.10404	  24.73921	  3.2233	[(7663, 57328, 948), (6279, 56243, 182)]
Less than Three epochs:    2.05393	  24.36636	  3.3821	[(7664, 57367, 322), (6880, 56543, 352)]
Less than Three epochs:    2.97893	  26.80955	  2.1540	[(7664, 57367, 868), (6276, 56269, 650)]
Less than Three epochs:    0.92875	  23.37685	  2.2749	[(6879, 56539, 764), (7665, 57328, 275)]
Less than Three epochs:    0.90469	  23.33965	  2.6381	[(6879, 56539, 724), (7665, 57328, 308)]
Less than Three epochs:    0.40407	  22.78746	  2.1746	[(6879, 56539, 396), (7665, 57328, 410)]
Less than Three epochs:  359.91089	  24.32763	  3.6871	[(7665, 57328, 526), (6513, 56543, 214)]
Less than Three epochs:  358.49696	  25.05578	  2.8109	[(6513, 56543, 566), (7666, 57339, 432)]
Less than Three epochs:  358.71440	  26.31679	  0.0000	[(6517, 56563, 820), (7666, 57339, 886)]
Less than Three epochs:    0.24550	  25.71191	  4.0324	[(7666, 57339, 900), (6877, 56544, 420)]
Less than Three epochs:  357.52409	  24.63978	  2.8673	[(6518, 56567, 197), (7667, 57580, 66)]
Less than Three epochs:  355.93964	  24.46418	  2.7900	[(6518, 56567, 478), (7667, 57580, 340)]
Less than Three epochs:  355.46130	  24.73644	  2.3274	[(6305, 56563, 32), (7667, 57580, 430)]
Less than Three epochs:  356.93519	  25.16144	  2.9147	[(6518, 56567, 728), (7667, 57580, 858)]
Less than Three epochs:  357.04838	  25.39294	  3.1726	[(6518, 56567, 754), (7667, 57580, 882)]
Less than Three epochs:  357.22674	  25.71382	  1.8414	[(6518, 56567, 790), (7667, 57580, 916)]
Less than Three epochs:  357.85097	  25.65928	  3.3121	[(6517, 56563, 374), (7667, 57580, 945)]
Less than Three epochs:  353.32914	  24.31112	  2.3828	[(6519, 56566, 706), (7668, 57579, 408)]
Less than Three epochs:  354.37774	  24.79348	  2.9258	[(6305, 56563, 330), (7668, 57579, 853)]
Less than Three epochs:  354.61745	  25.81737	  2.2791	[(6516, 56571, 448), (7668, 57579, 902)]
Less than Three epochs:  350.40989	  24.25033	  2.8764	[(7669, 57329, 620), (6306, 56535, 638)]
Less than Three epochs:  349.13803	  23.22770	  2.9943	[(7670, 57328, 220), (6114, 56209, 622)]
Less than Three epochs:  348.74982	  24.62310	  3.0845	[(7670, 57328, 716), (6303, 56539, 369)]
Less than Three epochs:  349.75235	  25.04061	  2.7725	[(7670, 57328, 904), (6303, 56539, 181)]
Less than Three epochs:   10.71001	  27.77304	  3.1806	[(7671, 57360, 136), (6275, 56245, 778)]
Less than Three epochs:   10.53482	  23.72514	  2.3069	[(7672, 57339, 177), (6285, 56248, 316)]
Less than Three epochs:    9.93385	  24.28321	  2.5328	[(7672, 57339, 316), (6284, 56310, 125)]
Less than Three epochs:    9.30687	  24.18932	  3.5041	[(7672, 57339, 394), (6283, 56239, 922)]
Less than Three epochs:    9.71434	  25.64701	  2.7377	[(6284, 56310, 840), (7672, 57339, 667)]
Less than Three epochs:   10.84463	  24.46340	  3.3103	[(6285, 56248, 728), (7672, 57339, 898)]
Less than Three epochs:   12.47203	  24.71717	  2.9765	[(7673, 57329, 41), (6288, 56192, 582)]
Less than Three epochs:   11.35200	  24.52385	  1.8337	[(7673, 57329, 290), (6285, 56248, 848)]
Less than Three epochs:   12.24919	  26.34869	  2.7229	[(7673, 57329, 881), (6278, 56266, 516)]
Less than Three epochs:   12.59740	  26.14976	  2.0033	[(7673, 57329, 978), (6286, 56301, 926)]
Less than Three epochs:   12.27958	  28.31128	  2.1998	[(7674, 57359, 653), (6253, 56574, 650)]
Less than Three epochs:   14.19383	  28.48710	  2.6005	[(7674, 57359, 983), (6253, 56574, 974)]
Less than Three epochs:   13.90702	  23.97433	  2.2761	[(7675, 57327, 72), (5701, 55949, 484)]
Less than Three epochs:   13.46298	  23.28536	  3.7843	[(7675, 57327, 170), (5700, 56245, 670)]
Less than Three epochs:   13.20458	  24.03493	  1.7203	[(7675, 57327, 238), (6288, 56192, 270)]
Less than Three epochs:   12.44357	  23.86978	  2.4289	[(7675, 57327, 390), (6285, 56248, 13)]
Less than Three epochs:   11.75730	  24.51777	  2.9201	[(7675, 57327, 514), (6288, 56192, 534)]
Less than Three epochs:   11.58813	  24.18235	  2.2639	[(7675, 57327, 516), (6285, 56248, 936)]
Less than Three epochs:   12.28171	  24.89140	  2.0682	[(7675, 57327, 596), (6286, 56301, 126)]
Less than Three epochs:   14.33483	  25.18324	  3.1417	[(7676, 57329, 289), (6288, 56192, 956)]
Less than Three epochs:   14.26561	  24.89627	  3.0588	[(7676, 57329, 322), (6288, 56192, 970)]
Less than Three epochs:   13.17043	  25.72258	  2.4429	[(7676, 57329, 485), (6286, 56301, 10)]
Less than Three epochs:   13.13902	  25.67964	  3.2659	[(7676, 57329, 495), (6288, 56192, 746)]
Less than Three epochs:   16.03861	  27.02774	  2.0859	[(7677, 57363, 174), (6255, 56240, 724)]
Less than Three epochs:   14.80349	  28.65662	  2.5302	[(7677, 57363, 598), (6256, 56323, 611)]
Less than Three epochs:   16.92230	  23.41314	  2.8064	[(7678, 57282, 96), (5120, 55895, 918)]
Less than Three epochs:   14.98037	  23.93155	  2.8219	[(7678, 57282, 470), (5701, 55949, 354)]
Less than Three epochs:   16.90643	  24.48255	  2.8008	[(7678, 57282, 939), (5699, 55953, 453)]
Less than Three epochs:   18.85132	  25.10227	  3.9097	[(7681, 57042, 745), (5693, 56246, 536)]
Less than Three epochs:   19.16834	  26.72609	  2.7038	[(7682, 57415, 544), (6258, 56238, 151)]
Less than Three epochs:   22.37857	  27.62172	  2.7801	[(6261, 56219, 990), (7683, 58133, 69)]
Less than Three epochs:   21.49986	  26.52455	  2.4875	[(5694, 56213, 584), (7683, 58133, 242)]
Less than Three epochs:   21.16641	  28.11793	  2.2094	[(6261, 56219, 788), (7683, 58133, 692)]
Less than Three epochs:   20.93234	  24.17963	  5.7343	[(7684, 57286, 657), (5693, 56246, 96)]
Less than Three epochs:   22.02964	  24.82721	  2.9432	[(5694, 56213, 304), (7684, 57286, 910)]
Less than Three epochs:   23.70735	  25.75999	  2.2726	[(7685, 57062, 102), (5694, 56213, 986)]
Less than Three epochs:   21.67832	  25.98368	  2.3642	[(7685, 57062, 532), (6261, 56219, 82)]
Less than Three epochs:   24.27201	  27.36621	  2.2523	[(6266, 56223, 519), (7686, 57015, 266)]
Less than Three epochs:   24.29965	  27.86623	  3.4115	[(7686, 57015, 277), (6266, 56223, 511)]
Less than Three epochs:   23.74764	  27.22711	  1.9569	[(7686, 57015, 414), (6264, 56223, 156)]
Less than Three epochs:   23.33095	  27.45037	  3.0313	[(6264, 56223, 775), (7686, 57015, 428)]
Less than Three epochs:   23.14563	  27.42120	  3.2220	[(7686, 57015, 473), (6264, 56223, 732)]
Less than Three epochs:   24.79800	  23.23465	  3.2014	[(7687, 57007, 30), (5109, 55892, 335)]
Less than Three epochs:   24.23228	  22.97000	  2.4909	[(7687, 57007, 204), (5107, 55940, 32)]
